"seq","status","title","content","music","persons","sel persons","places","source","length","YV length/s","yt1-start","yt1-end","t-start","t-end"
11,"Unvollständig","Gericht","Das Gericht der jüdischen Selbstverwaltung. Ausschnitte einer Gerichtsverhandlung. ",,,,,2,"8:05",,,,,
12,"verschollen","Bank","Die Bank der jüdischen Selbstverwaltung: Geschäfte an den Bankschaltern, der Banktresor. ",,,,,,,,,,,
13,"verschollen","Läden","Leute warten auf die Öffnung der Geschäfte, Kunden in einem Herrenbekleidungsgeschäft.",,,,,,,,,,,
14,"verschollen","Postamt","Leute, die Pakete aus vielen verschiedenen Ländern abholen; ein Paket wird in der Unterkunft eines Ehepaares ausgepackt. ",,,,,,,,,,,
15,"vollständig","Gesundheitswesen","Szenen aus den Ambulanzen, aus dem zentralen Krankenhaus; eine Operation; ein Krankenzimmer; Patienten sonnen sich im Garten der Klinik; das Kindererholungsheim; Kinder, die belegte Brote und Obst essen. ",,,,"Krankenzimmer",3,"1:36:01",52,,,"4:30.480","6:11.480"
16,"vollständig","Spielplatz","Schild mit der Aufschrift „Zum Spielplatz“. Kinder laufen in Zweierreihe durch den Stadtpark zum nahegelegenen Kinderpavillon. Dort befindet sich ein Sandkasten, wo sie gemeinsam spielen, trinken, tanzen und singen. Die Kinder halten außerhalb des Pavillions Mittagsschlaf. In einem Planschbecken spielen sie. Einige Kinder schaukeln draußen. Innenaufnahme eines Spielzimmers mit Schaukelpferden und Holzspielzeug.",,,,,3,"1:06:08",120,,,"6:11.560","7:21.480"
17,"vollständig","Kinderoper","Schlussszene von Hand Krasas Kinderoper „Brundibár“. Der Kinderchor singt. Szenenwechsel zwischen den kostümierten Darstellern und den jungen Zuschauern.",,"In der Rolle des Spatz: xxx",,,3,"1:15:02",104,,,"7:22.200","9:05.200"
18,"verschollen","Feuerwehr","Die Feuerwehr der jüdischen Selbstverwaltung rückt aus. Der Löschwagen verläßt die Feuerwehrstation. Die Feuerwehrmänner löschen ein Feuer. ",,,,,,,,,,,
19,"verschollen","Eisenbahner","Gleisarbeiter reparieren einen Schienenabschnitt. ",,,,"Gleise",,"7:08",,,,,
20,"verschollen","Landwirtschaft","(a) Gärtnerei außerhalb der Stadt: Gemüse und Kartoffeln, Seidenraupenzucht; (b) Enten- und Geflügelhaltung; (c) Ernte, eine Dreschmaschine bei der Arbeit; (d) das Wirtschaften auf dem Ackerland mit Ochsen. ",,,,,,,,,,,
21,"verschollen","Verpflegung","in einer Zentralküche wird das Essen zubereitet.  Essen wird gegen Lebensmittelmarken ausgegeben. Leute essen gemeinsamen im Speisesaal.",,"na",,"Zentralküche",,,,,,,
22,"Aufnahme von den Dreharbeiten","Freilichtvariete","Im Freilichtvarieté auf einer Wiese außerhalb der Ghettomauern treten verschiedene Künstler auf, darunter eine Tänzerin, ein Musikduo (Akkordeon und Violine), ein deutsches Kabarett-Trio, eine Sängerin sowie Kurt Gerron selbst. ",,"Dr. Rolf Grabower aus Berlin; Phillip Kozower von der jüdischen Kulturgemeinde aus Berlin; Frau Franzi Schneidhuber, Witwe eines SA-Obergruppenführers aus München; Frau Elly von Bleichröder; Frau von Hennicke; der österreichische Oberst a. D. Leon Neuberger). ","Rolf Grabower; Philipp Kozower; Franzi Schneidhuber; Elly von Bleichröder; Frau von Hennicke; D. Leon Neuberger ","Wiese außerhalb d. Ghettos",,,,,,,
23,"verschollen","Schwimmen","Schwimmen im Flußbad der Eger. ",,"Kurt Gerron, Dr. Rolf Grabower, Philip Kozower, Franzi Schneidhuber, Elly von Bleichröder,","Kurt Gerron; Rolf Grabower; Philip Kozower; Franzi Schneidhuber; Elly von Bleichröder","Fluß Eger",,,,,,,
24,"verschollen","Wächerei","Zentrale Wäscherei. ",,,,"Wächerei",,,,,,,
25,"verschollen","Maschinentischlerei","In der Maschinentischlerei in einer früheren Reitschule wird Holz gesägt sowie Bretter und Bauteile für Holzbaracken hergestellt.",,,,"Tischlerei","USHMM 59538",,,,,,
26,"vollständig","Schmiede","In der Werkstatt eines Huf- Wagenschmieds beschlägt ein Hufschmied einen Ochsen. Der Ochse wird aus der Schmiede herausgeführt.",,,,"Schmiede",4,"22:15",,0,"0:24.835","fortsetzung",
27,"vollständig","Metallwerkstätten","Zwei Männer schmieden ein heißes Eisen. Werkstatt mit mehreren Feuern, Ambossen, Stanzen und Fräsen. Ein Mann schweißt.  ",,,,,4,"1:01:16",,"0:24.868","1:29.012",,
28,"vollständig","Töpferei","In einer Töpferwerkstatt fertigt eine Frau ein Gefäß auf einer Drehscheibe. Ein andere Frau modelliert kleine Pferde. Der Bildhauer Rudolf Saudek bei der Arbeit an einer Brunnenfigur.","Jacques Offenbach: „Pariser Leben“","Bildhauer Rudolf Saudek ","Rudolf Saudek",,4,"48:10",,"1:29.046","2:19.519",,
29,"vollständig","Werkstätten","Die Szene zeigt die Herstellungs- und Reparaturwerkstätten in hölzernen Baracken außerhalb der Stadt. Schneider, Näherinnen und Schuhmacher sind bei der Arbeit zu sehen. Es werden Handtaschen und Geldbörsen hergestellt. Schneider bügeln Kleider. Ein anderer Schneider näht Hosen.Schneider arbeiten in einer großen Halle mit Nähmaschinen oder mit Hand. achines or by hand. Shoemakers sewing shoes, partly with sewing machines, working with material needed for production, hammer, and hollow punch. Shoemakers standing up together and leaving the facility. Women and men leaving the barracks in small groups or individually, walking along a street with a pylon, the barracks in the background.","Felix Mendelssohn-Bartholdy: „Midsummer nights dream“",,,,,"3:05:13",210,"2:19.452","5:32.921",,
30,"vollständig","Fußballspiel","Fußballspiel „Ligasieger gegen Pokalsieger“ im Hof der ""Dresdner Kaserne"". People heading towards gate, entering the gate, audience leaning out of the arcades on the first floor. Players passing the audience and running to the field in the courtyard of a former military barracks (""Dresdner Kaserne"", lining up back to back, the referee welcoming the captains by handshake. The audience clustered around the field and in the arcades on the upper floors of the building. Kick-off, match scenes, end of the game, people leaving the field through the gate",,"siehe Film: Liga",,"Dresdner Kaserne",4,"2:54:04",170,"5:32.954","8:31.348",,
31,"vollständig","Zentralbad","Männer laufen in die Gemeinschaftsdusche und waschen sich. Männer verlassen das Zentralbad und laufen auf die Straße.",,,,"Zentralbad","4,5","27:16",25,"8:31.381","9:0.161",,
32,"vollständig","Zentralbücherei","Street with a few passers-by, man reading a book while walking, elderly man opening glass door and entering the library. Elderly men entering the library, pan through the rooms of the library, users standing between bookshelves talking to each other. Shown: David Cohen, Heinrich Klang (judge/professor), Ernst Kantorowicz (professor, Frankfurt), Desider Friedmann",,"Richter Heinrich Klang und Dr. Desider Friedmann aus Wien, Professor David Cohen aus Amsterdam, Professor Ernst Kantorowicz aus Frankfurt)","Heinrich Klang; Desider Friedmann; David Cohen; Ernst Kantorowicz;","Zentralbücherei?",5,"28:09",26,"9:0.194","9:29.742",,
33,"vollständig","Vortrag","Vortrag des Universitätsprofessors Emil Utitz. Im Publikum sind zahlreiche Wissenschaftler vertreten. ","Felix Mendelssohn-Bartholdy: „Sonate für Violintrio“","Vortragender Prof. Emil Utitz, Zuschauer: Rabbiner Dr. Leo Baeck, Prof. Hermann Strauss, Dr. Otto Stargardt, Dr. jur. Alexander Cohn, Prof. Alfred Philippson, Prof. Alfred Klein, Prof. Klang, Rabbiner Benjamin Murmelstein; Prof. Artur Stein, Prof. Leo Taussig, Prof. Maximilian Adler, Franzi Schneidhuber, Elly von Bleichröder ","Emil Utitz; Leo Baeck; Hermann Strauss; Otto Stargardt; Alexander Cohn; Alfred Philippson; Alfred Klein; Prof. Klang; Benjamin Murmelstein; Artur Stein; Leo Taussig; Maximilian Adler; Franzi Schneidhuber; Elly von Bleichröder; ",,5,"40:08",47,"9:29.776","10:08.984",,
34,"vollständig","Konzert","Das Orchester unter der Leitung von Karel Ancerl spielt das Stück „Studie für Streichorchester“ von Pavel Haas. ","Pavel Haas: „Studie für Streichorchester“","Karel Ancerl, Dr. Ernst Rosenthal, Dr. Fritz Gutmann, Dr. Julius Moritz, Karl Meinhard, Karl Löwenstein, Dr. Leo Löwenstein, Prof. Saudek, Dr. Heinrich Gans, Dr. Heinrich Dessauer, Ove Meyer, Morits und Melanie Oppenhejm, Dr. Franz Kahn, Robert Mandler, Dr. Erich Springer, Elisabeth Czech, Hans Krasa, Pavel Haas ","Karel Ancerl; Ernst Rosenthal; Fritz Gutmann; Julius Moritz; Karl Meinhard; Karl Löwenstein; Leo Löwenstein; Rudolf Saudek; Heinrich Gans; Heinrich Dessauer; Ove Meyer; Morits Oppenhejm; Melanie Oppenhejm; Franz Kahn; Robert Mandler; Erich Springer; Elisabeth Czech; Hans Krasa; Pavel Haas ",,5,"2:02:03",120,"10:09.018","12:19.144",,
35,"vollständig","Schrebergärten","Schrebergärten am Festungsgraben unterhalb der Stadtmauer. Leute arbeiten im Garten und gießen Blumen. ",,,,"Festungsgraben",5,"1:10:05",70,"12:19.178","13:32.314",,
36,"vollständig","Abendfreizeit","Leute erholen sich außerhalb von Holzbaracken, Szenen aus den Gemeinschaftsunterkünften. Outdoor facilities of the barracks with inhabitants, mostly women and children, on benches, chatting, reading. Inside a barrack of the women's accommodation, pan on the central corridor to separate living spaces with wooden tables and benches, double bunk beds separating the living spaces, partly covered with cloths. Several women and young girls reading, needle working, chatting in small groups, playing cards.",,,,,5,"1:54:24",,"13:32.347","15:31.911",,
37,"Unvollständig","Abendessen","Abendessen einer Familie (um den Tisch sitzen: Professor Cohen und Frau Cohen aus Amsterdam; Herr und Frau Kozower und Kinder aus Berlin).               ++++ Margry: „Die  Szene gibt vor, eine Familie aus Vater, Mutter, zwei Kindern und         Großeltern zu zeigen. Keinem der Filmemacher oder jedenfalls keinem der SS-Kontrolleure fiel auf, wie abwegig es war, öffentlich bekannte Personen, die wie die Ehepaare Cohen und Kozower auch noch aus verschiedenen Ländern kamen, einzusetzen, um mit ihnen eine ""richtige Familie"" darzustellen.“ ",,"Prof. Cohen, Frau Kozower","Philipp Kozower; Gisela Kozower; David Cohen; Cornelia Cohen; ",,5,"3:09",,"15:31.945","15:35.755",,
38,"verschollen","Schlussmontage","Schlußmontage",,,,,,,,"15:35.789","15:39.666",,
